epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1423.78,1.2963,0.64734,0.92921,0.79134,0.72493,0.76757,0.33224,1.97277,0.94144,1.2597,0.000544776,0.000544776,0.000544776
70,1443.51,1.26364,0.63411,0.9253,0.79539,0.7439,0.77902,0.32983,1.9824,0.95532,1.26479,0.000528272,0.000528272,0.000528272
71,1464.05,1.29378,0.64849,0.92663,0.77983,0.7561,0.76863,0.32011,1.98157,0.92296,1.26815,0.000511769,0.000511769,0.000511769
72,1484.33,1.30303,0.64812,0.9307,0.77728,0.73713,0.77282,0.32647,1.97773,0.95907,1.25612,0.000495266,0.000495266,0.000495266
73,1504.28,1.26224,0.63943,0.92,0.78669,0.72764,0.75408,0.30928,2.01671,0.94374,1.28653,0.000478762,0.000478762,0.000478762
74,1525.56,1.28015,0.64085,0.92163,0.78073,0.73336,0.73778,0.31098,2.00783,0.95886,1.28793,0.000462259,0.000462259,0.000462259
75,1546.71,1.26048,0.63679,0.91928,0.7747,0.75068,0.75987,0.31741,1.99451,0.92637,1.26784,0.000445756,0.000445756,0.000445756
76,1567.48,1.27351,0.6314,0.9214,0.77736,0.74752,0.76832,0.32452,2.00963,0.93199,1.27473,0.000429253,0.000429253,0.000429253
77,1587.95,1.24391,0.62642,0.91258,0.78729,0.73577,0.76588,0.32115,1.99518,0.92685,1.2721,0.000412749,0.000412749,0.000412749
78,1608.58,1.23186,0.61628,0.91161,0.76485,0.75366,0.76598,0.32996,1.97436,0.93217,1.27316,0.000396246,0.000396246,0.000396246
79,1628.34,1.24058,0.62946,0.91194,0.78921,0.75881,0.77608,0.33186,1.9851,0.93359,1.29054,0.000379743,0.000379743,0.000379743
80,1648.53,1.22664,0.61688,0.91118,0.80548,0.73171,0.77268,0.32791,1.98598,0.92276,1.27382,0.000363239,0.000363239,0.000363239
81,1669.31,1.211,0.60525,0.91186,0.77687,0.74797,0.77036,0.32785,2.00331,0.96144,1.2809,0.000346736,0.000346736,0.000346736
82,1689.35,1.19559,0.60271,0.90585,0.78329,0.75339,0.779,0.32714,2.01459,0.92603,1.29002,0.000330233,0.000330233,0.000330233
83,1710.74,1.1768,0.59181,0.90944,0.80096,0.73614,0.77662,0.33087,1.98581,0.92284,1.27545,0.000313729,0.000313729,0.000313729
84,1731.02,1.21737,0.61615,0.91125,0.78896,0.73442,0.77043,0.32879,1.98464,0.93641,1.27016,0.000297226,0.000297226,0.000297226
85,1751.89,1.22147,0.60651,0.90794,0.8054,0.73442,0.78104,0.33412,1.98894,0.91597,1.28028,0.000280723,0.000280723,0.000280723
86,1772.56,1.17647,0.59091,0.90141,0.79462,0.74797,0.77626,0.3283,1.99492,0.91576,1.28412,0.00026422,0.00026422,0.00026422
87,1792.31,1.17616,0.59277,0.90301,0.81048,0.74797,0.77717,0.33274,1.98303,0.92553,1.28548,0.000247716,0.000247716,0.000247716
88,1813.21,1.16186,0.5878,0.89878,0.80183,0.74565,0.76751,0.3315,1.99054,0.91812,1.28476,0.000231213,0.000231213,0.000231213
89,1833.39,1.16765,0.59071,0.90019,0.77931,0.76423,0.77508,0.32967,1.9822,0.92176,1.28084,0.00021471,0.00021471,0.00021471
90,1854.35,1.16572,0.58575,0.90109,0.78064,0.75474,0.76976,0.32755,1.99881,0.90996,1.30208,0.000198206,0.000198206,0.000198206
91,1874.67,1.18056,0.58066,0.91235,0.78533,0.771,0.78427,0.32934,1.9756,0.90904,1.2892,0.000181703,0.000181703,0.000181703
92,1891.33,1.14047,0.56484,0.90028,0.79311,0.76152,0.78424,0.33227,1.98439,0.90598,1.29294,0.0001652,0.0001652,0.0001652
93,1907.22,1.12341,0.55517,0.89865,0.79271,0.76693,0.78115,0.32978,1.97574,0.90332,1.2916,0.000148696,0.000148696,0.000148696
94,1923.17,1.13113,0.5533,0.89418,0.79053,0.74797,0.77569,0.33172,1.9754,0.90888,1.29727,0.000132193,0.000132193,0.000132193
95,1939.26,1.12871,0.55119,0.89258,0.77658,0.74887,0.77054,0.32519,1.99541,0.91106,1.30754,0.00011569,0.00011569,0.00011569
96,1955.65,1.10999,0.54662,0.89659,0.80717,0.74661,0.78265,0.33216,1.98404,0.91937,1.30223,9.91865e-05,9.91865e-05,9.91865e-05
97,1971.92,1.10037,0.54205,0.89213,0.80775,0.7439,0.78502,0.32826,1.987,0.91178,1.30927,8.26832e-05,8.26832e-05,8.26832e-05
98,1988.11,1.09727,0.54676,0.88967,0.80705,0.75474,0.78014,0.3299,1.99159,0.91951,1.31005,6.61799e-05,6.61799e-05,6.61799e-05
99,2004.16,1.10343,0.54502,0.89081,0.79326,0.75909,0.77863,0.32623,1.99204,0.9096,1.31345,4.96766e-05,4.96766e-05,4.96766e-05
100,2020.5,1.09125,0.53925,0.89036,0.79622,0.75709,0.7765,0.3299,1.9874,0.9126,1.31301,3.31733e-05,3.31733e-05,3.31733e-05
